Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
11,0.0,0.0,0.0,1787.0,11.0,265.0,1787.0,0.1,215.58912500000028,0.0,0.0,141.1947340965271,,,,,,,,,,,,,,,,,,,,,107.40491530802106,61.01832817312493,212.78544970642454,0.7425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,2063.0,12.0,276.0,2063.0,0.1,219.3646500000002,0.0,0.0,166.50519013404846,,,,,,,,,,,,,,,,,,,,,107.69729389227798,60.77916579853134,216.43548962214305,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,2293.0,13.0,230.0,2293.0,0.1,185.40155000000001,0.0,0.0,187.9280984401703,,,,,,,,,,,,,,,,,,,,,93.00880923088395,51.56581130554674,183.29900535577102,0.8999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,2564.0,14.0,271.0,2564.0,0.1,216.7909750000003,0.0,0.0,212.78316140174866,,,,,,,,,,,,,,,,,,,,,110.16332067307528,59.94185675279841,213.84831653458372,0.6545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,2777.0,15.0,213.0,2777.0,0.1,168.31832500000007,0.0,0.0,232.43780660629272,,,,,,,,,,,,,,,,,,,,,83.28687722879546,46.404118641935874,166.57762837492552,0.7425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,3045.0,16.0,268.0,3045.0,0.1,210.3124500000003,0.0,0.0,257.0608956813812,,,,,,,,,,,,,,,,,,,,,106.66751309879044,58.77982378315066,207.4952576255254,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,3227.0,17.0,182.0,3227.0,0.1,139.2982250000001,0.0,0.0,274.1430015563965,,,,,,,,,,,,,,,,,,,,,72.06611415252505,37.152284021537206,138.01422318691934,0.9900000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,3498.0,18.0,271.0,3498.0,0.1,219.73012500000036,0.0,0.0,299.101913690567,,,,,,,,,,,,,,,,,,,,,112.13948177826825,62.521095725509085,216.73448977441942,0.7425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,3776.0,19.0,278.0,3776.0,0.1,224.79032500000025,0.0,0.0,324.68723130226135,,,,,,,,,,,,,,,,,,,,,116.14642991199487,63.51240035651665,221.6057731870267,0.7425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,3918.0,20.0,142.0,3918.0,0.1,106.3872,0.0,0.0,337.8296363353729,,,,,,,,,,,,,,,,,,,,,58.804903104173974,30.69055709291531,105.57328397698345,0.7425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
